Putt Event Auto-Capture (Device Motion @ 100Hz)
Sample Count: 232

Timestamp,UserAccelX,UserAccelY,UserAccelZ,UserAccelMag,RotationX,RotationY,RotationZ,RotationMag,GravityX,GravityY,GravityZ,Pitch,Roll,Yaw
2026-02-17 15:31:21.143,-0.0145,0.0068,-0.0060,0.0171,0.0226,0.0066,0.0032,0.0238,0.9199,0.1852,0.3455,-0.1863,1.9301,2.7245
2026-02-17 15:31:21.153,-0.0083,0.0034,-0.0006,0.0090,0.0005,-0.0001,0.0026,0.0026,0.9199,0.1852,0.3456,-0.1863,1.9301,2.7244
2026-02-17 15:31:21.163,0.0041,-0.0079,0.0062,0.0108,-0.0124,-0.0061,0.0101,0.0171,0.9200,0.1851,0.3456,-0.1862,1.9301,2.7244
2026-02-17 15:31:21.173,0.0181,-0.0080,0.0107,0.0225,-0.0146,-0.0074,0.0165,0.0232,0.9200,0.1849,0.3455,-0.1860,1.9301,2.7245
2026-02-17 15:31:26.068,0.0186,-0.0021,0.0104,0.0214,-0.0297,-0.0075,0.0111,0.0326,0.9201,0.1847,0.3455,-0.1858,1.9300,2.7246
2026-02-17 15:31:26.101,0.0103,0.0026,0.0055,0.0119,-0.0611,-0.0019,0.0067,0.0615,0.9201,0.1845,0.3455,-0.1855,1.9301,2.7250
2026-02-17 15:31:26.101,0.0014,-0.0012,-0.0062,0.0065,-0.0786,-0.0027,0.0040,0.0788,0.9201,0.1842,0.3457,-0.1852,1.9302,2.7257
2026-02-17 15:31:26.101,-0.0059,-0.0021,-0.0086,0.0106,-0.0449,-0.0039,0.0062,0.0455,0.9201,0.1839,0.3457,-0.1849,1.9302,2.7263
2026-02-17 15:31:26.101,-0.0059,0.0080,-0.0058,0.0115,-0.0102,-0.0110,0.0158,0.0218,0.9202,0.1837,0.3457,-0.1848,1.9302,2.7265
2026-02-17 15:31:26.101,-0.0001,0.0186,-0.0024,0.0188,0.0090,-0.0138,0.0244,0.0295,0.9202,0.1836,0.3456,-0.1846,1.9301,2.7264
2026-02-17 15:31:26.101,-0.0002,0.0173,0.0072,0.0188,0.0108,-0.0136,0.0262,0.0315,0.9203,0.1834,0.3455,-0.1844,1.9299,2.7262
2026-02-17 15:31:26.101,-0.0042,0.0048,0.0099,0.0118,0.0106,-0.0087,0.0200,0.0242,0.9204,0.1831,0.3453,-0.1842,1.9297,2.7260
2026-02-17 15:31:26.101,-0.0102,-0.0026,0.0004,0.0105,-0.0164,-0.0058,0.0145,0.0227,0.9205,0.1830,0.3453,-0.1840,1.9297,2.7260
2026-02-17 15:31:26.101,-0.0151,-0.0003,-0.0037,0.0156,-0.0190,0.0001,0.0150,0.0242,0.9205,0.1828,0.3453,-0.1838,1.9297,2.7261
2026-02-17 15:31:26.101,-0.0119,-0.0059,-0.0062,0.0146,-0.0038,-0.0031,0.0132,0.0141,0.9206,0.1826,0.3453,-0.1836,1.9297,2.7262
2026-02-17 15:31:26.101,-0.0086,-0.0046,-0.0057,0.0113,-0.0108,-0.0044,0.0113,0.0163,0.9206,0.1825,0.3453,-0.1835,1.9296,2.7262
2026-02-17 15:31:26.101,-0.0052,0.0020,0.0051,0.0076,-0.0038,-0.0035,0.0194,0.0201,0.9206,0.1823,0.3452,-0.1834,1.9295,2.7262
2026-02-17 15:31:26.101,-0.0018,0.0000,0.0128,0.0130,0.0038,-0.0056,0.0191,0.0203,0.9207,0.1822,0.3452,-0.1832,1.9295,2.7261
2026-02-17 15:31:26.101,-0.0031,0.0028,0.0168,0.0174,0.0104,-0.0056,0.0210,0.0241,0.9207,0.1821,0.3451,-0.1831,1.9294,2.7260
2026-02-17 15:31:26.101,-0.0048,0.0061,0.0146,0.0166,-0.0160,-0.0087,0.0134,0.0226,0.9208,0.1819,0.3450,-0.1829,1.9293,2.7259
2026-02-17 15:31:26.101,-0.0067,-0.0003,0.0030,0.0073,-0.0616,-0.0043,0.0088,0.0623,0.9208,0.1817,0.3451,-0.1827,1.9293,2.7262
2026-02-17 15:31:26.101,-0.0080,-0.0120,-0.0072,0.0162,-0.0920,-0.0034,0.0000,0.0920,0.9208,0.1814,0.3452,-0.1824,1.9294,2.7270
2026-02-17 15:31:26.101,-0.0033,-0.0262,-0.0076,0.0275,-0.0845,-0.0058,0.0021,0.0847,0.9209,0.1811,0.3453,-0.1821,1.9295,2.7278
2026-02-17 15:31:26.101,0.0010,-0.0197,0.0077,0.0212,-0.0585,-0.0123,0.0076,0.0603,0.9209,0.1807,0.3453,-0.1817,1.9296,2.7285
2026-02-17 15:31:26.101,0.0036,-0.0050,0.0192,0.0201,-0.0510,-0.0120,0.0001,0.0524,0.9210,0.1805,0.3453,-0.1815,1.9295,2.7290
2026-02-17 15:31:26.101,0.0003,-0.0006,0.0174,0.0174,-0.0395,-0.0088,0.0098,0.0417,0.9210,0.1803,0.3453,-0.1813,1.9295,2.7294
2026-02-17 15:31:26.101,-0.0026,-0.0039,0.0085,0.0097,-0.0283,-0.0074,0.0109,0.0312,0.9210,0.1801,0.3453,-0.1811,1.9295,2.7297
2026-02-17 15:31:26.101,-0.0092,-0.0096,-0.0007,0.0133,-0.0081,-0.0072,0.0120,0.0161,0.9211,0.1800,0.3453,-0.1809,1.9295,2.7298
2026-02-17 15:31:26.101,-0.0094,-0.0041,-0.0047,0.0113,0.0076,-0.0110,0.0131,0.0187,0.9211,0.1799,0.3452,-0.1809,1.9294,2.7298
2026-02-17 15:31:26.101,-0.0011,-0.0018,-0.0047,0.0051,0.0210,-0.0120,0.0187,0.0305,0.9212,0.1797,0.3451,-0.1807,1.9292,2.7296
2026-02-17 15:31:26.101,0.0043,-0.0061,0.0077,0.0107,0.0241,-0.0137,0.0228,0.0359,0.9213,0.1796,0.3449,-0.1806,1.9290,2.7293
2026-02-17 15:31:26.101,0.0058,-0.0064,0.0117,0.0146,0.0105,-0.0119,0.0245,0.0292,0.9214,0.1794,0.3448,-0.1804,1.9289,2.7290
2026-02-17 15:31:26.101,0.0018,-0.0117,0.0113,0.0163,-0.0117,-0.0136,0.0232,0.0294,0.9215,0.1791,0.3447,-0.1801,1.9288,2.7290
2026-02-17 15:31:26.101,-0.0006,-0.0118,0.0060,0.0132,-0.0243,-0.0172,0.0177,0.0346,0.9215,0.1789,0.3446,-0.1798,1.9287,2.7291
2026-02-17 15:31:26.101,-0.0016,-0.0119,-0.0021,0.0121,-0.0209,-0.0179,0.0146,0.0312,0.9216,0.1786,0.3445,-0.1796,1.9285,2.7292
2026-02-17 15:31:26.102,-0.0017,-0.0028,-0.0028,0.0043,-0.0025,-0.0205,0.0131,0.0245,0.9217,0.1784,0.3444,-0.1794,1.9284,2.7293
2026-02-17 15:31:26.102,0.0019,0.0120,0.0032,0.0125,0.0065,-0.0162,0.0155,0.0234,0.9218,0.1783,0.3442,-0.1793,1.9282,2.7292
2026-02-17 15:31:26.102,0.0021,0.0009,0.0075,0.0079,0.0088,-0.0124,0.0128,0.0199,0.9219,0.1782,0.3441,-0.1792,1.9280,2.7291
2026-02-17 15:31:26.102,0.0013,-0.0124,0.0100,0.0160,0.0043,-0.0111,0.0157,0.0197,0.9219,0.1781,0.3439,-0.1791,1.9279,2.7290
2026-02-17 15:31:26.102,0.0011,-0.0048,0.0072,0.0087,-0.0088,-0.0049,0.0115,0.0153,0.9220,0.1780,0.3439,-0.1789,1.9278,2.7290
2026-02-17 15:31:26.102,-0.0021,-0.0013,-0.0014,0.0028,-0.0329,0.0006,0.0093,0.0342,0.9220,0.1778,0.3439,-0.1787,1.9278,2.7291
2026-02-17 15:31:26.102,-0.0077,-0.0133,-0.0012,0.0154,-0.0235,0.0013,0.0118,0.0264,0.9220,0.1775,0.3440,-0.1785,1.9279,2.7294
2026-02-17 15:31:26.102,-0.0065,-0.0057,0.0023,0.0090,-0.0112,-0.0032,0.0070,0.0136,0.9221,0.1774,0.3440,-0.1783,1.9279,2.7295
2026-02-17 15:31:26.102,-0.0035,0.0101,0.0056,0.0121,-0.0251,-0.0029,0.0080,0.0265,0.9221,0.1773,0.3440,-0.1782,1.9279,2.7296
2026-02-17 15:31:26.102,-0.0006,-0.0014,0.0099,0.0100,-0.0477,-0.0025,0.0105,0.0489,0.9221,0.1771,0.3441,-0.1780,1.9279,2.7300
2026-02-17 15:31:26.102,0.0021,-0.0145,0.0175,0.0228,-0.0460,-0.0049,0.0133,0.0481,0.9221,0.1768,0.3441,-0.1777,1.9280,2.7304
2026-02-17 15:31:26.102,0.0034,-0.0146,0.0178,0.0233,-0.0288,-0.0059,0.0108,0.0313,0.9222,0.1765,0.3442,-0.1775,1.9280,2.7307
2026-02-17 15:31:26.102,-0.0006,-0.0065,0.0147,0.0161,-0.0404,-0.0026,0.0088,0.0415,0.9222,0.1763,0.3442,-0.1772,1.9280,2.7310
2026-02-17 15:31:26.102,-0.0044,0.0032,0.0079,0.0096,-0.0584,0.0056,0.0035,0.0588,0.9222,0.1761,0.3443,-0.1770,1.9281,2.7314
2026-02-17 15:31:26.102,-0.0083,-0.0003,0.0032,0.0090,-0.0649,0.0133,-0.0025,0.0663,0.9222,0.1758,0.3445,-0.1768,1.9283,2.7320
2026-02-17 15:31:26.102,-0.0160,-0.0078,0.0005,0.0178,-0.0557,0.0184,-0.0055,0.0589,0.9221,0.1757,0.3447,-0.1766,1.9286,2.7326
2026-02-17 15:31:26.102,-0.0166,-0.0015,-0.0028,0.0169,-0.0458,0.0184,-0.0068,0.0499,0.9220,0.1756,0.3450,-0.1765,1.9288,2.7331
2026-02-17 15:31:26.102,-0.0104,0.0007,-0.0007,0.0104,-0.0297,0.0164,-0.0106,0.0355,0.9220,0.1755,0.3452,-0.1764,1.9291,2.7335
2026-02-17 15:31:26.102,0.0010,-0.0030,0.0090,0.0095,-0.0242,0.0097,-0.0126,0.0290,0.9219,0.1755,0.3454,-0.1764,1.9293,2.7338
2026-02-17 15:31:26.102,0.0036,-0.0025,0.0156,0.0162,-0.0311,0.0109,-0.0103,0.0345,0.9218,0.1755,0.3456,-0.1764,1.9295,2.7341
2026-02-17 15:31:26.102,0.0010,-0.0020,0.0135,0.0136,-0.0395,0.0108,-0.0116,0.0426,0.9218,0.1754,0.3458,-0.1763,1.9296,2.7344
2026-02-17 15:31:26.102,-0.0038,-0.0032,0.0056,0.0075,-0.0499,0.0127,-0.0132,0.0531,0.9217,0.1754,0.3460,-0.1763,1.9299,2.7349
2026-02-17 15:31:26.102,-0.0091,-0.0057,0.0018,0.0109,-0.0383,0.0159,-0.0096,0.0426,0.9216,0.1754,0.3462,-0.1763,1.9301,2.7354
2026-02-17 15:31:26.102,-0.0125,-0.0098,-0.0010,0.0159,-0.0223,0.0162,-0.0084,0.0288,0.9216,0.1753,0.3464,-0.1762,1.9303,2.7357
2026-02-17 15:31:26.102,-0.0086,-0.0070,-0.0038,0.0117,-0.0062,0.0116,-0.0026,0.0134,0.9215,0.1753,0.3465,-0.1763,1.9305,2.7359
2026-02-17 15:31:26.105,-0.0008,-0.0105,-0.0053,0.0118,-0.0089,0.0112,0.0001,0.0143,0.9215,0.1753,0.3466,-0.1762,1.9306,2.7360
2026-02-17 15:31:26.105,0.0026,-0.0187,-0.0045,0.0194,-0.0208,0.0092,0.0016,0.0228,0.9214,0.1753,0.3468,-0.1762,1.9307,2.7361
2026-02-17 15:31:26.105,-0.0012,-0.0189,-0.0005,0.0189,-0.0323,0.0096,0.0022,0.0338,0.9214,0.1751,0.3469,-0.1761,1.9309,2.7363
2026-02-17 15:31:26.105,0.0000,-0.0178,-0.0019,0.0179,-0.0165,0.0019,-0.0046,0.0172,0.9214,0.1751,0.3470,-0.1760,1.9310,2.7366
2026-02-17 15:31:26.105,0.0022,-0.0093,-0.0057,0.0111,-0.0002,-0.0078,-0.0010,0.0079,0.9214,0.1750,0.3470,-0.1760,1.9310,2.7367
2026-02-17 15:31:26.105,0.0039,0.0047,-0.0048,0.0077,0.0125,-0.0103,0.0054,0.0171,0.9214,0.1750,0.3469,-0.1759,1.9309,2.7366
2026-02-17 15:31:26.105,0.0052,0.0092,-0.0032,0.0110,0.0055,-0.0075,0.0062,0.0112,0.9214,0.1750,0.3469,-0.1759,1.9308,2.7365
2026-02-17 15:31:26.105,0.0013,0.0031,-0.0006,0.0034,-0.0041,-0.0042,0.0104,0.0120,0.9215,0.1749,0.3468,-0.1758,1.9307,2.7364
2026-02-17 15:31:26.105,0.0013,-0.0047,0.0020,0.0053,-0.0113,-0.0033,0.0127,0.0173,0.9215,0.1748,0.3468,-0.1757,1.9307,2.7365
2026-02-17 15:31:26.105,0.0016,-0.0122,-0.0050,0.0133,-0.0187,-0.0026,0.0121,0.0224,0.9216,0.1746,0.3468,-0.1755,1.9307,2.7366
2026-02-17 15:31:26.105,-0.0010,-0.0117,-0.0084,0.0145,-0.0082,-0.0042,0.0107,0.0141,0.9216,0.1744,0.3468,-0.1753,1.9307,2.7367
2026-02-17 15:31:26.105,0.0009,-0.0052,-0.0014,0.0055,0.0012,-0.0084,0.0153,0.0175,0.9216,0.1742,0.3467,-0.1751,1.9306,2.7367
2026-02-17 15:31:26.105,0.0037,0.0051,0.0069,0.0093,-0.0146,-0.0075,0.0069,0.0178,0.9217,0.1741,0.3467,-0.1750,1.9305,2.7367
2026-02-17 15:31:26.112,0.0007,0.0010,0.0056,0.0057,-0.0365,-0.0046,0.0012,0.0368,0.9217,0.1740,0.3466,-0.1749,1.9305,2.7369
2026-02-17 15:31:26.112,-0.0049,-0.0031,0.0003,0.0058,-0.0475,-0.0053,-0.0017,0.0479,0.9217,0.1739,0.3467,-0.1748,1.9305,2.7373
2026-02-17 15:31:26.112,-0.0068,-0.0001,-0.0062,0.0092,-0.0567,-0.0055,-0.0079,0.0575,0.9217,0.1737,0.3467,-0.1746,1.9306,2.7378
2026-02-17 15:31:26.112,-0.0084,-0.0027,-0.0116,0.0146,-0.0453,-0.0063,-0.0055,0.0461,0.9218,0.1736,0.3468,-0.1745,1.9306,2.7384
2026-02-17 15:31:26.112,-0.0053,-0.0040,-0.0108,0.0127,-0.0138,-0.0078,0.0000,0.0158,0.9218,0.1735,0.3467,-0.1744,1.9306,2.7387
2026-02-17 15:31:26.112,-0.0038,0.0076,0.0002,0.0085,0.0008,-0.0080,-0.0032,0.0086,0.9218,0.1735,0.3467,-0.1743,1.9305,2.7387
2026-02-17 15:31:26.112,-0.0035,0.0149,0.0065,0.0167,0.0043,-0.0025,0.0036,0.0062,0.9218,0.1735,0.3466,-0.1743,1.9304,2.7387
2026-02-17 15:31:26.112,-0.0051,0.0085,0.0102,0.0142,-0.0055,-0.0039,0.0009,0.0067,0.9218,0.1734,0.3466,-0.1743,1.9304,2.7387
2026-02-17 15:31:26.112,-0.0045,0.0032,0.0060,0.0081,-0.0377,-0.0079,-0.0016,0.0386,0.9219,0.1734,0.3466,-0.1743,1.9304,2.7389
2026-02-17 15:31:26.112,-0.0010,-0.0033,0.0030,0.0046,-0.0487,-0.0056,-0.0007,0.0491,0.9219,0.1732,0.3466,-0.1741,1.9304,2.7393
2026-02-17 15:31:26.112,-0.0008,-0.0080,0.0050,0.0095,-0.0325,-0.0060,-0.0024,0.0332,0.9219,0.1731,0.3466,-0.1740,1.9304,2.7397
2026-02-17 15:31:26.115,-0.0054,0.0018,0.0060,0.0083,-0.0002,-0.0044,0.0036,0.0057,0.9219,0.1731,0.3466,-0.1739,1.9304,2.7399
2026-02-17 15:31:26.115,-0.0092,0.0148,0.0057,0.0183,0.0239,-0.0022,0.0024,0.0241,0.9219,0.1731,0.3465,-0.1739,1.9303,2.7397
2026-02-17 15:31:26.115,-0.0153,0.0154,0.0027,0.0218,0.0374,-0.0035,0.0019,0.0376,0.9220,0.1732,0.3464,-0.1740,1.9302,2.7394
2026-02-17 15:31:26.115,-0.0149,0.0126,0.0011,0.0196,0.0353,-0.0019,0.0044,0.0356,0.9220,0.1733,0.3463,-0.1742,1.9301,2.7391
2026-02-17 15:31:26.116,-0.0088,0.0057,0.0023,0.0107,0.0268,-0.0040,0.0022,0.0272,0.9220,0.1734,0.3463,-0.1743,1.9301,2.7387
2026-02-17 15:31:26.116,-0.0069,-0.0034,0.0062,0.0099,0.0228,-0.0144,0.0018,0.0270,0.9220,0.1735,0.3462,-0.1743,1.9299,2.7385
2026-02-17 15:31:26.116,-0.0008,-0.0060,0.0106,0.0122,0.0211,-0.0173,0.0008,0.0273,0.9221,0.1735,0.3460,-0.1744,1.9297,2.7383
2026-02-17 15:31:26.116,0.0044,-0.0003,0.0129,0.0136,0.0058,-0.0185,-0.0016,0.0194,0.9221,0.1736,0.3458,-0.1744,1.9296,2.7382
2026-02-17 15:31:26.117,0.0036,-0.0006,0.0086,0.0094,-0.0043,-0.0177,-0.0001,0.0183,0.9222,0.1736,0.3456,-0.1745,1.9294,2.7382
2026-02-17 15:31:26.117,0.0059,-0.0051,0.0038,0.0087,-0.0136,-0.0139,0.0019,0.0195,0.9222,0.1736,0.3455,-0.1744,1.9292,2.7382
2026-02-17 15:31:26.117,0.0040,-0.0007,0.0050,0.0064,-0.0229,-0.0107,0.0036,0.0255,0.9223,0.1735,0.3454,-0.1744,1.9292,2.7384
2026-02-17 15:31:26.117,-0.0009,-0.0077,0.0083,0.0114,-0.0068,-0.0095,-0.0046,0.0125,0.9223,0.1735,0.3454,-0.1744,1.9291,2.7385
2026-02-17 15:31:26.118,-0.0024,-0.0060,0.0051,0.0083,0.0044,-0.0124,-0.0069,0.0149,0.9223,0.1736,0.3453,-0.1744,1.9290,2.7386
2026-02-17 15:31:26.118,-0.0056,0.0075,0.0013,0.0095,0.0150,-0.0128,-0.0059,0.0206,0.9223,0.1736,0.3452,-0.1745,1.9289,2.7385
2026-02-17 15:31:26.118,-0.0062,0.0066,0.0003,0.0091,0.0237,-0.0136,-0.0036,0.0276,0.9224,0.1737,0.3450,-0.1746,1.9287,2.7383
2026-02-17 15:31:26.118,-0.0090,0.0061,-0.0020,0.0111,0.0167,-0.0121,-0.0047,0.0212,0.9224,0.1738,0.3449,-0.1747,1.9286,2.7382
2026-02-17 15:31:26.118,-0.0113,0.0036,-0.0038,0.0124,0.0060,-0.0105,-0.0025,0.0124,0.9224,0.1739,0.3448,-0.1748,1.9285,2.7381
2026-02-17 15:31:26.118,-0.0074,-0.0045,-0.0002,0.0087,0.0238,-0.0112,0.0027,0.0264,0.9225,0.1739,0.3447,-0.1748,1.9284,2.7379
2026-02-17 15:31:26.118,-0.0017,-0.0038,0.0059,0.0072,0.0256,-0.0133,0.0008,0.0288,0.9225,0.1740,0.3445,-0.1749,1.9282,2.7377
2026-02-17 15:31:26.118,0.0004,-0.0021,0.0131,0.0133,0.0160,-0.0120,0.0036,0.0203,0.9226,0.1740,0.3444,-0.1749,1.9280,2.7375
2026-02-17 15:31:26.118,0.0008,-0.0031,0.0106,0.0110,-0.0094,-0.0104,-0.0035,0.0144,0.9226,0.1740,0.3443,-0.1749,1.9279,2.7374
2026-02-17 15:31:26.118,0.0001,-0.0106,0.0057,0.0120,-0.0172,-0.0101,-0.0054,0.0207,0.9226,0.1741,0.3442,-0.1749,1.9279,2.7376
2026-02-17 15:31:26.118,-0.0018,-0.0120,0.0050,0.0132,-0.0116,-0.0095,-0.0134,0.0201,0.9226,0.1741,0.3441,-0.1750,1.9278,2.7378
2026-02-17 15:31:26.118,-0.0057,-0.0085,0.0027,0.0106,-0.0096,-0.0136,-0.0114,0.0202,0.9227,0.1742,0.3440,-0.1751,1.9277,2.7379
