Putt Event Auto-Capture (Raw Accelerometer @ 800Hz)
Sample Count: 262

Timestamp,RawAccelX,RawAccelY,RawAccelZ,RawAccelMag
2026-02-17 15:31:21.143,0.9083,0.1937,0.3417,0.9896
2026-02-17 15:31:21.153,0.9172,0.1816,0.3483,0.9977
2026-02-17 15:31:21.163,0.9315,0.1760,0.3544,1.0121
2026-02-17 15:31:21.173,0.9400,0.1788,0.3567,1.0212
2026-02-17 15:31:21.183,0.9350,0.1866,0.3544,1.0171
2026-02-17 15:31:26.099,0.9259,0.1853,0.3457,1.0055
2026-02-17 15:31:26.100,0.9169,0.1814,0.3367,0.9935
2026-02-17 15:31:26.100,0.9129,0.1854,0.3395,0.9914
2026-02-17 15:31:26.100,0.9171,0.1980,0.3408,0.9982
2026-02-17 15:31:26.100,0.9209,0.2032,0.3475,1.0051
2026-02-17 15:31:26.100,0.9176,0.1944,0.3556,1.0032
2026-02-17 15:31:26.100,0.9140,0.1824,0.3511,0.9960
2026-02-17 15:31:26.100,0.9070,0.1812,0.3418,0.9860
2026-02-17 15:31:26.100,0.9063,0.1815,0.3413,0.9853
2026-02-17 15:31:26.100,0.9102,0.1751,0.3381,0.9866
2026-02-17 15:31:26.100,0.9131,0.1823,0.3443,0.9928
2026-02-17 15:31:26.100,0.9177,0.1837,0.3556,1.0012
2026-02-17 15:31:26.100,0.9183,0.1827,0.3605,1.0033
2026-02-17 15:31:26.100,0.9169,0.1873,0.3628,1.0037
2026-02-17 15:31:26.100,0.9146,0.1852,0.3532,0.9978
2026-02-17 15:31:26.100,0.9128,0.1773,0.3428,0.9910
2026-02-17 15:31:26.100,0.9147,0.1598,0.3357,0.9874
2026-02-17 15:31:26.100,0.9199,0.1556,0.3446,0.9945
2026-02-17 15:31:26.100,0.9244,0.1690,0.3604,1.0064
2026-02-17 15:31:26.100,0.9230,0.1793,0.3649,1.0086
2026-02-17 15:31:26.100,0.9201,0.1781,0.3597,1.0038
2026-02-17 15:31:26.100,0.9152,0.1719,0.3479,0.9941
2026-02-17 15:31:26.100,0.9104,0.1718,0.3429,0.9879
2026-02-17 15:31:26.100,0.9163,0.1779,0.3380,0.9927
2026-02-17 15:31:26.100,0.9234,0.1753,0.3463,1.0016
2026-02-17 15:31:26.100,0.9271,0.1723,0.3551,1.0076
2026-02-17 15:31:26.100,0.9252,0.1710,0.3563,1.0061
2026-02-17 15:31:26.100,0.9214,0.1666,0.3546,1.0012
2026-02-17 15:31:26.100,0.9209,0.1672,0.3460,0.9978
2026-02-17 15:31:26.100,0.9193,0.1688,0.3401,0.9946
2026-02-17 15:31:26.100,0.9218,0.1849,0.3438,1.0011
2026-02-17 15:31:26.100,0.9241,0.1878,0.3498,1.0057
2026-02-17 15:31:26.100,0.9240,0.1706,0.3528,1.0037
2026-02-17 15:31:26.100,0.9229,0.1679,0.3545,1.0028
2026-02-17 15:31:26.100,0.9218,0.1779,0.3466,1.0007
2026-02-17 15:31:26.100,0.9171,0.1700,0.3416,0.9933
2026-02-17 15:31:26.100,0.9135,0.1639,0.3447,0.9901
2026-02-17 15:31:26.100,0.9177,0.1816,0.3483,0.9983
2026-02-17 15:31:26.100,0.9200,0.1841,0.3506,1.0016
2026-02-17 15:31:26.100,0.9225,0.1668,0.3573,1.0033
2026-02-17 15:31:26.100,0.9256,0.1616,0.3621,1.0070
2026-02-17 15:31:26.100,0.9245,0.1646,0.3607,1.0059
2026-02-17 15:31:26.100,0.9195,0.1759,0.3561,1.0016
2026-02-17 15:31:26.100,0.9170,0.1788,0.3497,0.9975
2026-02-17 15:31:26.100,0.9098,0.1703,0.3465,0.9883
2026-02-17 15:31:26.100,0.9052,0.1707,0.3432,0.9830
2026-02-17 15:31:26.100,0.9075,0.1770,0.3421,0.9858
2026-02-17 15:31:26.100,0.9171,0.1741,0.3492,0.9966
2026-02-17 15:31:26.100,0.9254,0.1717,0.3586,1.0072
2026-02-17 15:31:26.100,0.9243,0.1740,0.3620,1.0078
2026-02-17 15:31:26.100,0.9211,0.1721,0.3552,1.0022
2026-02-17 15:31:26.100,0.9151,0.1711,0.3499,0.9945
2026-02-17 15:31:26.100,0.9108,0.1670,0.3464,0.9886
2026-02-17 15:31:26.100,0.9099,0.1659,0.3445,0.9870
2026-02-17 15:31:26.100,0.9174,0.1689,0.3415,0.9934
2026-02-17 15:31:26.100,0.9232,0.1601,0.3403,0.9969
2026-02-17 15:31:26.100,0.9217,0.1563,0.3445,0.9963
2026-02-17 15:31:26.100,0.9205,0.1564,0.3461,0.9957
2026-02-17 15:31:26.100,0.9226,0.1608,0.3432,0.9974
2026-02-17 15:31:26.100,0.9244,0.1727,0.3404,1.0001
2026-02-17 15:31:26.100,0.9262,0.1832,0.3430,1.0045
2026-02-17 15:31:26.100,0.9256,0.1816,0.3441,1.0040
2026-02-17 15:31:26.100,0.9224,0.1746,0.3486,1.0014
2026-02-17 15:31:26.100,0.9236,0.1651,0.3456,0.9999
2026-02-17 15:31:26.100,0.9217,0.1621,0.3392,0.9955
2026-02-17 15:31:26.100,0.9219,0.1650,0.3406,0.9965
2026-02-17 15:31:26.100,0.9245,0.1748,0.3505,1.0041
2026-02-17 15:31:26.100,0.9243,0.1783,0.3532,1.0054
2026-02-17 15:31:26.100,0.9194,0.1716,0.3497,0.9986
2026-02-17 15:31:26.100,0.9157,0.1728,0.3437,0.9932
2026-02-17 15:31:26.100,0.9141,0.1731,0.3377,0.9898
2026-02-17 15:31:26.100,0.9142,0.1693,0.3343,0.9880
2026-02-17 15:31:26.100,0.9180,0.1739,0.3409,0.9946
2026-02-17 15:31:26.100,0.9178,0.1871,0.3506,1.0002
2026-02-17 15:31:26.100,0.9171,0.1859,0.3560,1.0011
2026-02-17 15:31:26.100,0.9162,0.1787,0.3549,0.9986
2026-02-17 15:31:26.100,0.9190,0.1737,0.3502,0.9986
2026-02-17 15:31:26.100,0.9221,0.1661,0.3501,1.0002
2026-02-17 15:31:26.100,0.9180,0.1684,0.3521,0.9976
2026-02-17 15:31:26.100,0.9145,0.1823,0.3524,0.9968
2026-02-17 15:31:26.100,0.9095,0.1899,0.3510,0.9932
2026-02-17 15:31:26.100,0.9057,0.1878,0.3478,0.9882
2026-02-17 15:31:26.100,0.9095,0.1832,0.3481,0.9910
2026-02-17 15:31:26.100,0.9148,0.1743,0.3497,0.9947
2026-02-17 15:31:26.100,0.9173,0.1676,0.3553,0.9979
2026-02-17 15:31:26.100,0.9249,0.1695,0.3584,1.0063
2026-02-17 15:31:26.100,0.9267,0.1744,0.3571,1.0083
2026-02-17 15:31:26.100,0.9273,0.1694,0.3519,1.0062
2026-02-17 15:31:26.100,0.9285,0.1715,0.3487,1.0066
2026-02-17 15:31:26.100,0.9234,0.1701,0.3524,1.0029
2026-02-17 15:31:26.100,0.9208,0.1637,0.3530,0.9997
2026-02-17 15:31:26.100,0.9177,0.1751,0.3485,0.9971
2026-02-17 15:31:26.100,0.9169,0.1826,0.3456,0.9967
2026-02-17 15:31:26.100,0.9151,0.1785,0.3445,0.9940
2026-02-17 15:31:26.100,0.9119,0.1799,0.3419,0.9903
2026-02-17 15:31:26.100,0.9120,0.1720,0.3419,0.9891
2026-02-17 15:31:26.100,0.9189,0.1689,0.3474,0.9968
2026-02-17 15:31:26.100,0.9224,0.1716,0.3535,1.0026
2026-02-17 15:31:26.100,0.9230,0.1725,0.3574,1.0047
2026-02-17 15:31:26.100,0.9237,0.1666,0.3508,1.0020
2026-02-17 15:31:26.100,0.9217,0.1620,0.3497,0.9990
2026-02-17 15:31:26.100,0.9183,0.1632,0.3474,0.9952
2026-02-17 15:31:26.100,0.9156,0.1682,0.3459,0.9931
2026-02-17 15:31:26.100,0.9209,0.1662,0.3475,0.9983
2026-02-17 15:31:26.100,0.9258,0.1652,0.3532,1.0046
2026-02-17 15:31:26.100,0.9258,0.1683,0.3563,1.0062
2026-02-17 15:31:26.100,0.9235,0.1669,0.3536,1.0028
2026-02-17 15:31:26.100,0.9197,0.1684,0.3488,0.9980
2026-02-17 15:31:26.100,0.9183,0.1685,0.3456,0.9956
2026-02-17 15:31:26.100,0.9161,0.1699,0.3372,0.9908
2026-02-17 15:31:26.100,0.9152,0.1659,0.3325,0.9878
2026-02-17 15:31:26.100,0.9214,0.1587,0.3363,0.9936
2026-02-17 15:31:26.100,0.9273,0.1619,0.3446,1.0024
2026-02-17 15:31:26.100,0.9282,0.1780,0.3562,1.0100
2026-02-17 15:31:26.100,0.9259,0.1818,0.3634,1.0112
2026-02-17 15:31:26.100,0.9239,0.1734,0.3617,1.0072
2026-02-17 15:31:26.100,0.9218,0.1677,0.3540,1.0016
2026-02-17 15:31:26.100,0.9194,0.1673,0.3466,0.9967
2026-02-17 15:31:26.100,0.9216,0.1680,0.3477,0.9992
2026-02-17 15:31:26.100,0.9220,0.1610,0.3491,0.9989
2026-02-17 15:31:26.100,0.9140,0.1564,0.3535,0.9924
2026-02-17 15:31:26.100,0.9107,0.1614,0.3511,0.9893
2026-02-17 15:31:26.100,0.9117,0.1655,0.3475,0.9896
2026-02-17 15:31:26.100,0.9114,0.1652,0.3493,0.9900
2026-02-17 15:31:26.100,0.9081,0.1713,0.3476,0.9874
2026-02-17 15:31:26.100,0.9099,0.1745,0.3444,0.9885
2026-02-17 15:31:26.100,0.9093,0.1669,0.3471,0.9875
2026-02-17 15:31:26.100,0.9058,0.1714,0.3474,0.9851
2026-02-17 15:31:26.100,0.9047,0.1860,0.3513,0.9881
2026-02-17 15:31:26.100,0.9083,0.1846,0.3592,0.9940
2026-02-17 15:31:26.100,0.9094,0.1717,0.3622,0.9938
2026-02-17 15:31:26.100,0.9075,0.1662,0.3633,0.9916
2026-02-17 15:31:26.100,0.9092,0.1636,0.3633,0.9927
2026-02-17 15:31:26.100,0.9090,0.1696,0.3669,0.9948
2026-02-17 15:31:26.100,0.9088,0.1740,0.3790,0.9999
2026-02-17 15:31:26.100,0.9087,0.1711,0.3930,1.0047
2026-02-17 15:31:26.100,0.9040,0.1766,0.3995,1.0040
2026-02-17 15:31:26.100,0.8973,0.1810,0.4055,1.0012
2026-02-17 15:31:26.100,0.8874,0.1814,0.4172,0.9973
2026-02-17 15:31:26.100,0.8791,0.1878,0.4258,0.9947
2026-02-17 15:31:26.100,0.8699,0.1950,0.4285,0.9892
2026-02-17 15:31:26.100,0.8653,0.1852,0.4349,0.9860
2026-02-17 15:31:26.100,0.8608,0.1886,0.4449,0.9872
2026-02-17 15:31:26.100,0.8549,0.1972,0.4568,0.9891
2026-02-17 15:31:26.100,0.8540,0.1912,0.4657,0.9913
2026-02-17 15:31:26.100,0.8537,0.1925,0.4704,0.9936
2026-02-17 15:31:26.100,0.8491,0.1978,0.4792,0.9948
2026-02-17 15:31:26.100,0.8445,0.1920,0.4842,0.9922
2026-02-17 15:31:26.100,0.8403,0.1792,0.4861,0.9871
2026-02-17 15:31:26.100,0.8421,0.1852,0.4867,0.9901
2026-02-17 15:31:26.100,0.8434,0.2037,0.4901,0.9965
2026-02-17 15:31:26.100,0.8425,0.2078,0.4896,0.9963
2026-02-17 15:31:26.100,0.8450,0.1999,0.4894,0.9967
2026-02-17 15:31:26.100,0.8532,0.1985,0.4845,1.0011
2026-02-17 15:31:26.100,0.8580,0.1991,0.4828,1.0045
2026-02-17 15:31:26.100,0.8608,0.1833,0.4914,1.0080
2026-02-17 15:31:26.100,0.8614,0.1809,0.4993,1.0119
2026-02-17 15:31:26.100,0.8658,0.1905,0.4941,1.0149
2026-02-17 15:31:26.100,0.8725,0.1940,0.4878,1.0183
2026-02-17 15:31:26.100,0.8730,0.1932,0.4922,1.0207
2026-02-17 15:31:26.100,0.8725,0.1983,0.4903,1.0202
2026-02-17 15:31:26.100,0.8692,0.1958,0.4854,1.0146
2026-02-17 15:31:26.100,0.8712,0.1899,0.4777,1.0116
2026-02-17 15:31:26.100,0.8729,0.1858,0.4734,1.0103
2026-02-17 15:31:26.100,0.8773,0.1832,0.4755,1.0145
2026-02-17 15:31:26.100,0.8787,0.1862,0.4826,1.0197
2026-02-17 15:31:26.100,0.8768,0.1951,0.4811,1.0190
2026-02-17 15:31:26.100,0.8801,0.1809,0.4741,1.0159
2026-02-17 15:31:26.100,0.8837,0.1760,0.4685,1.0156
2026-02-17 15:31:26.100,0.8818,0.1826,0.4667,1.0143
2026-02-17 15:31:26.100,0.8817,0.1784,0.4663,1.0133
2026-02-17 15:31:26.100,0.8793,0.1771,0.4629,1.0094
2026-02-17 15:31:26.100,0.8809,0.1775,0.4619,1.0104
2026-02-17 15:31:26.100,0.8827,0.1840,0.4627,1.0135
2026-02-17 15:31:26.100,0.8808,0.1910,0.4589,1.0114
